,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority
172,192.168.1.12,216.239.38.180,6,TLS,215,329,2023-03-30 22:48:52.647795,1680209332.647795362,51730,443,0x0018,2333,2111,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1544
	Encrypted Application Data: 3a1111ce9b6b48210bdd34776a3c57ef99877911ee8494522c5be5836b08e5bc2283802d…
	Application Data Protocol: http-over-tls
",,,,,,,,,
173,216.239.38.180,192.168.1.12,6,TLS,586,336,2023-03-30 22:48:52.696809,1680209332.696808610,443,51730,0x0018,2111,2482,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 515
	Encrypted Application Data: b14c848a35ede3ea2c947393eb5169efda3229581e77785a808070e097e62897a78834c2…
	Application Data Protocol: http-over-tls
",,,,,,,,,
174,216.239.38.180,192.168.1.12,6,TLS,99,337,2023-03-30 22:48:52.696809,1680209332.696808835,443,51730,0x0018,2631,2482,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 28
	Encrypted Application Data: 1ebff4272d9a6e9bec76b13d6d7a6ec686f1a8d5fee1547aec9665ce
	Application Data Protocol: http-over-tls
",,,,,,,,,
175,216.239.38.180,192.168.1.12,6,TLS,97,339,2023-03-30 22:48:52.696957,1680209332.696957096,443,51730,0x0018,2664,2482,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 26
	Encrypted Application Data: 53fda24bb164c311236d46dfbd463998d2699eaea2259a9ee0c3
	Application Data Protocol: http-over-tls
",,,,,,,,,
176,216.239.38.180,192.168.1.12,6,TLS,105,340,2023-03-30 22:48:52.697161,1680209332.697161345,443,51730,0x0018,2695,2482,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 5a35580c71aeb867c030346f619a578dce15ef001103c3b181ae765f23a8a0f8945c
	Application Data Protocol: http-over-tls
",,,,,,,,,
177,192.168.1.12,216.239.38.180,6,TLS,105,342,2023-03-30 22:48:52.697251,1680209332.697251305,51730,443,0x0018,2482,2734,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 955f8e1c247d39098b3d1307b678877cb81b6d982276590169da8eee008f0504f03e
	Application Data Protocol: http-over-tls
",,,,,,,,,
178,192.168.1.12,216.239.38.180,6,TLS,458,344,2023-03-30 22:48:54.534267,1680209334.534267094,51730,443,0x0018,2521,2734,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 387
	Encrypted Application Data: 800eae4c6d3a4130412bf308794696970e325c9f557e7c7720af4c6ba36caed8277d81c6…
	Application Data Protocol: http-over-tls
",,,,,,,,,
179,192.168.1.12,216.239.38.180,6,TLS,100,345,2023-03-30 22:48:54.534385,1680209334.534384665,51730,443,0x0018,2913,2734,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 29
	Encrypted Application Data: a0645a05b4f6cec2bb157372f7355617e015170c266794a954082896c8
	Application Data Protocol: http-over-tls
",,,,,,,,,
180,216.239.38.180,192.168.1.12,6,TLS,582,350,2023-03-30 22:48:54.732746,1680209334.732745960,443,51730,0x0018,2734,2947,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 511
	Encrypted Application Data: 3b0752f9b765b8d98b6ff98f9e900d54de339f01e5ab54cf689c4fdae3675018ef188233…
	Application Data Protocol: http-over-tls
",,,,,,,,,
181,216.239.38.180,192.168.1.12,6,TLS,100,351,2023-03-30 22:48:54.732746,1680209334.732746249,443,51730,0x0018,3250,2947,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 29
	Encrypted Application Data: a5301923954fabff892683f1360347f3665e8e1a3db2f5f99e8ada1f8d
	Application Data Protocol: http-over-tls
",,,,,,,,,
182,216.239.38.180,192.168.1.12,6,TLS,97,353,2023-03-30 22:48:54.734158,1680209334.734157667,443,51730,0x0018,3284,2947,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 26
	Encrypted Application Data: ab19275e78a9b9829081b9eb031438ae4dad8bab0fcb4a38559a
	Application Data Protocol: http-over-tls
",,,,,,,,,
183,216.239.38.180,192.168.1.12,6,TLS,105,354,2023-03-30 22:48:54.734386,1680209334.734385914,443,51730,0x0018,3315,2947,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 21d54d809b7253b4f40bd83c99fa9cd7636463ff25948f04b4bd822cb6df066bc6db
	Application Data Protocol: http-over-tls
",,,,,,,,,
184,192.168.1.12,216.239.38.180,6,TLS,105,356,2023-03-30 22:48:54.734484,1680209334.734483885,51730,443,0x0018,2947,3354,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 8bc372c441a754f0184367343623145e67f3a604f15d8d7cdfc381430b7d30761738
	Application Data Protocol: http-over-tls
",,,,,,,,,
185,192.168.1.12,216.239.38.180,6,TLS,101,357,2023-03-30 22:48:54.734565,1680209334.734564576,51730,443,0x0018,2986,3354,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 30
	Encrypted Application Data: ffba7f5df0cc9bd01d864a236dbac041cf513a2e3a3eb99755d03bb1565b
	Application Data Protocol: http-over-tls
",,,,,,,,,
186,192.168.1.12,216.239.38.180,6,TLS,433,358,2023-03-30 22:48:54.737436,1680209334.737436275,51730,443,0x0018,3021,3354,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 362
	Encrypted Application Data: 4f0f3c4ed018a2e404ac05d9351aa3c47278f316e24bf731bca2438f6bcb7d2c63d4e29c…
	Application Data Protocol: http-over-tls
",,,,,,,,,
187,216.239.38.180,192.168.1.12,6,TLS,586,362,2023-03-30 22:48:54.917562,1680209334.917562367,443,51730,0x0018,3354,3388,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 515
	Encrypted Application Data: 992513c7f717c1fb094f68091106c1897333a6fd60fe7be9dee4a4b07205388a67007ff6…
	Application Data Protocol: http-over-tls
",,,,,,,,,
188,216.239.38.180,192.168.1.12,6,TLS,99,363,2023-03-30 22:48:54.917821,1680209334.917820663,443,51730,0x0018,3874,3388,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 28
	Encrypted Application Data: a25095ed85232af282807bf9a0f45a4f6c74a5cf119c5ac5e9e47259
	Application Data Protocol: http-over-tls
",,,,,,,,,
189,216.239.38.180,192.168.1.12,6,TLS,97,365,2023-03-30 22:48:54.919921,1680209334.919921431,443,51730,0x0018,3907,3388,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 26
	Encrypted Application Data: 6ba1ff95bf33d91e8169dc259d7320df6261e2d9155f74ec343b
	Application Data Protocol: http-over-tls
",,,,,,,,,
190,216.239.38.180,192.168.1.12,6,TLS,105,366,2023-03-30 22:48:54.920112,1680209334.920112113,443,51730,0x0018,3938,3388,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 8ef38eaec95e7bd943f153715f4fd2649e22b51a87b202ae63e90c2cfa44ee470692
	Application Data Protocol: http-over-tls
",,,,,,,,,
