,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls
0,192.168.1.12,192.168.1.1,17,DNS,73,1,2023-03-30 05:50:54.566393,1680148254.566393204,0x4ff5,0,www.bbc.co.uk,,1,0x0001,1,0,0,,,,,,
1,192.168.1.12,192.168.1.1,17,DNS,73,2,2023-03-30 05:50:54.566503,1680148254.566503401,0x6f5e,0,www.bbc.co.uk,,28,0x0001,1,0,0,,,,,,
2,192.168.1.1,192.168.1.12,17,DNS,198,3,2023-03-30 05:50:54.583214,1680148254.583214240,0x6f5e,1,www.bbc.co.uk,www.bbc.co.uk,28,0x0001,1,2,1,,,,,,
3,192.168.1.1,192.168.1.12,17,DNS,153,4,2023-03-30 05:50:54.583482,1680148254.583482256,0x4ff5,1,www.bbc.co.uk,www.bbc.co.uk,1,0x0001,1,3,0,,,,,,
4,192.168.1.12,192.168.1.1,17,DNS,78,5,2023-03-30 05:50:54.583520,1680148254.583520332,0x752b,0,bbc.map.fastly.net,,28,0x0001,1,0,0,,,,,,
5,192.168.1.1,192.168.1.12,17,DNS,78,6,2023-03-30 05:50:54.584202,1680148254.584201880,0x752b,1,bbc.map.fastly.net,,28,0x0001,1,0,0,,,,,,
6,192.168.1.12,151.101.240.81,6,TLS,583,10,2023-03-30 05:50:54.684616,1680148254.684615620,,,,,,,,,,50998,443,0x0018,1,1,"Layer TLS:
	Signature Algorithm: rsa_pkcs1_sha512 (0x0601)
	Signature Algorithm: SHA224 ECDSA (0x0303)
	Signature Algorithm: SHA224 RSA (0x0301)
	Signature Algorithm: SHA224 DSA (0x0302)
	Signature Algorithm: SHA256 DSA (0x0402)
	Signature Algorithm: SHA384 DSA (0x0502)
	Signature Algorithm: SHA512 DSA (0x0602)
	Signature Hash Algorithm Hash: SHA384 (5)
	Signature Hash Algorithm Hash: SHA512 (6)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: Unknown (8)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Hash: SHA384 (5)
	Signature Hash Algorithm Hash: SHA512 (6)
	Signature Hash Algorithm Hash: SHA224 (3)
	Signature Hash Algorithm Hash: SHA224 (3)
	Signature Hash Algorithm Hash: SHA224 (3)
	Signature Hash Algorithm Hash: SHA256 (4)
	Signature Hash Algorithm Hash: SHA384 (5)
	Signature Hash Algorithm Hash: SHA512 (6)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Hash Algorithm Signature: Unknown (7)
	Signature Hash Algorithm Signature: Unknown (8)
	Signature Hash Algorithm Signature: Unknown (9)
	Signature Hash Algorithm Signature: Unknown (10)
	Signature Hash Algorithm Signature: Unknown (11)
	Signature Hash Algorithm Signature: SM2 (4)
	Signature Hash Algorithm Signature: Unknown (5)
	Signature Hash Algorithm Signature: Unknown (6)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: ECDSA (3)
	Signature Hash Algorithm Signature: RSA (1)
	Signature Hash Algorithm Signature: DSA (2)
	Signature Hash Algorithm Signature: DSA (2)
	Signature Hash Algorithm Signature: DSA (2)
	Signature Hash Algorithm Signature: DSA (2)
	Supported Version: TLS 1.2 (0x0303)
"
7,151.101.240.81,192.168.1.12,6,TLS,1442,13,2023-03-30 05:50:54.902003,1680148254.902003394,,,,,,,,,,443,50998,0x0010,1,518,"Layer TLS:
	TLSv1.2 Record Layer: Handshake Protocol: Server Hello
	Content Type: Handshake (22)
	Version: TLS 1.2 (0x0303)
	Length: 122
	Handshake Protocol: Server Hello
	Handshake Type: Server Hello (2)
	Length: 118
	Version: TLS 1.2 (0x0303)
	Random: 4fa4fc9f3640b614cf9a24fa0d50d3df4172f8202878fcf23988bde6ed959b4d
	Session ID Length: 32
	Session ID: 850728efca495ec568f36cc402cd011237f3530b0dc1f7c2fe586817fbb2875e
	Cipher Suite: TLS_AES_128_GCM_SHA256 (0x1301)
	Compression Method: null (0)
	Extensions Length: 46
	Extension: supported_versions (len=2)
	Type: supported_versions (43)
	Length: 2
	Supported Version: TLS 1.3 (0x0304)
	Group: x25519 (29)
	Key Exchange Length: 32
	Key Exchange: a3087beef5c10d308346948ece430194706a4b5b8e72ca1baafac9b19f1c5200
	JA3S Fullstring: 771,4865,43-51
	JA3S: f4febc55ea12b31ae17cfb7e614afda8
	Change Cipher Spec Message
	Opaque Type: Application Data (23)
	Encrypted Application Data: c2d377f51441cd013a230b2014bc116225c8cd4d1e0cc6dcfc68ed28364260a921a49e08…
	Application Data Protocol: http-over-tls
	TLSv1.3 Record Layer: Change Cipher Spec Protocol: Change Cipher Spec
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Change Cipher Spec (20)
	Version: TLS 1.2 (0x0303)
	Version: TLS 1.2 (0x0303)
	Length: 1
	Length: 42
	Extension: key_share (len=36)
	Key Share extension
	Key Share Entry: Group: x25519, Key Exchange length: 32
	Type: key_share (51)
	Length: 36
"
8,151.101.240.81,192.168.1.12,6,TLS,677,19,2023-03-30 05:50:54.902370,1680148254.902370057,,,,,,,,,,443,50998,0x0018,4129,518,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 4011
	Encrypted Application Data: 882a7dff068edfa8ac90f2d727b8468eb6581cd33c1ecf320169113535ed634552f42c48…
	Application Data Protocol: http-over-tls
"
9,192.168.1.12,151.101.240.81,6,TLS,130,21,2023-03-30 05:50:54.906057,1680148254.906057229,,,,,,,,,,50998,443,0x0018,518,4740,"Layer TLS:
	TLSv1.3 Record Layer: Change Cipher Spec Protocol: Change Cipher Spec
	Content Type: Change Cipher Spec (20)
	Version: TLS 1.2 (0x0303)
	Length: 1
	Change Cipher Spec Message
	Opaque Type: Application Data (23)
	Encrypted Application Data: 50631f5e1b12f8f907c9996e14dab3501f8cad24724d90838d6e26d2482f63625fb96a0d…
	Application Data Protocol: http-over-tls
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Version: TLS 1.2 (0x0303)
	Length: 53
"
10,192.168.1.12,151.101.240.81,6,TLS,232,22,2023-03-30 05:50:54.906619,1680148254.906619004,,,,,,,,,,50998,443,0x0018,582,4740,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 161
	Encrypted Application Data: ad565c0f6346acb3cbfed8baf97efda10ec2ec5244d5e4d56e4ebd21aebde931ce44e703…
	Application Data Protocol: http-over-tls
"
11,151.101.240.81,192.168.1.12,6,TLS,2818,25,2023-03-30 05:50:54.939152,1680148254.939152101,,,,,,,,,,443,50998,0x0018,4740,748,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: a02228491f40ef09fae93a18c3ed82a8de59c37c6a535146b169807018baf97752ca1102…
	Application Data Protocol: http-over-tls
"
12,151.101.240.81,192.168.1.12,6,TLS,1588,26,2023-03-30 05:50:54.939152,1680148254.939152429,,,,,,,,,,443,50998,0x0018,7492,748,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: f230b466545e258789b7ef3640a14f53f11ad7b596c7280557d54ad9731f189d3aa547dd…
	Application Data Protocol: http-over-tls
"
13,151.101.240.81,192.168.1.12,6,TLS,2818,27,2023-03-30 05:50:54.939152,1680148254.939152477,,,,,,,,,,443,50998,0x0018,9014,748,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 784597e3919ba484d1a5f6d1f1febc89d33e3b77feb531d0b35b9bf0520b55badbe6add8…
	Application Data Protocol: http-over-tls
"
14,151.101.240.81,192.168.1.12,6,TLS,2818,30,2023-03-30 05:50:54.945034,1680148254.945033625,,,,,,,,,,443,50998,0x0018,11766,748,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 2df0f07ab0de4309f8b2e023f0b91bea6791c2335e4f33002f0f8a117f4422f867f906f9…
	Application Data Protocol: http-over-tls
"
15,151.101.240.81,192.168.1.12,6,TLS,2818,32,2023-03-30 05:50:54.951220,1680148254.951219475,,,,,,,,,,443,50998,0x0018,14518,748,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 083827b0faba078edeb476367484f524ce21f2f16d67d3a7cd78a82388f3077fe8590cec…
	Application Data Protocol: http-over-tls
"
16,151.101.240.81,192.168.1.12,6,TLS,2818,34,2023-03-30 05:50:54.957336,1680148254.957335825,,,,,,,,,,443,50998,0x0018,17270,748,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: bfa279d38f380011fa23e452ce5a61d0c70da9b250428e6cc6b977c8d5e74df22e469080…
	Application Data Protocol: http-over-tls
"
17,151.101.240.81,192.168.1.12,6,TLS,2818,36,2023-03-30 05:50:54.961961,1680148254.961960989,,,,,,,,,,443,50998,0x0018,20022,748,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 72f612de90f6b531c0aa43de8c0ebe9776196a4a4f087a2f9e6a1794f38fd1ca5e429a74…
	Application Data Protocol: http-over-tls
"
18,151.101.240.81,192.168.1.12,6,TLS,2818,38,2023-03-30 05:50:54.966168,1680148254.966167764,,,,,,,,,,443,50998,0x0018,22774,748,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 761cdcb5a42a3fc48eaa3712a7f306363b2869976e7313686904b9b3a9b1f71c4609c1a4…
